"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2018","517.00","517.00","517.00","517.00","-","0.19%"
"Aug 17, 2018","516.00","516.00","516.00","516.00","0.02K","-0.77%"
"Aug 16, 2018","520.00","520.00","520.00","520.00","-","0.00%"
"Aug 15, 2018","520.00","520.00","520.00","520.00","-","0.00%"
"Aug 14, 2018","520.00","520.00","520.00","520.00","-","0.00%"
"Aug 13, 2018","520.00","520.00","520.00","520.00","-","0.00%"
"Aug 10, 2018","520.00","520.00","520.00","520.00","-","-1.89%"
"Aug 09, 2018","530.00","530.00","530.00","530.00","0.03K","0.00%"
"Aug 08, 2018","530.00","530.00","530.00","530.00","-","0.00%"
"Aug 07, 2018","530.00","530.00","530.00","530.00","0.03K","-1.67%"
"Aug 06, 2018","539.00","539.00","539.00","539.00","0.02K","-0.19%"
"Aug 03, 2018","540.00","540.00","540.00","540.00","0.03K","1.22%"
"Aug 02, 2018","533.50","533.50","533.50","533.50","0.03K","-1.93%"
"Aug 01, 2018","544.00","544.00","544.00","544.00","0.05K","0.28%"
"Jul 31, 2018","542.48","542.48","542.48","542.48","-","-0.46%"
"Jul 30, 2018","545.00","545.00","545.00","545.00","-","0.93%"
"Jul 27, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 26, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 25, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 24, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 23, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 20, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 19, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 18, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 17, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 16, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 13, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Jul 12, 2018","540.00","540.00","540.00","540.00","0.03K","-1.28%"
"Jul 11, 2018","547.00","547.00","547.00","547.00","-","0.00%"
"Jul 10, 2018","547.00","547.00","547.00","547.00","0.04K","-1.97%"
"Jul 09, 2018","558.00","558.00","558.00","558.00","0.03K","1.82%"
"Jul 06, 2018","548.00","548.00","548.00","548.00","-","0.00%"
"Jul 05, 2018","548.00","548.00","548.00","548.00","0.06K","0.00%"
"Jul 04, 2018","548.00","548.00","548.00","548.00","-","0.00%"
"Jul 03, 2018","548.00","548.00","548.00","548.00","-","0.00%"
"Jul 02, 2018","548.00","548.00","548.00","548.00","-","-0.03%"
"Jun 29, 2018","548.17","548.17","548.17","548.17","-","-0.42%"
"Jun 28, 2018","550.50","550.50","550.50","550.50","-","0.00%"
"Jun 27, 2018","550.50","550.50","550.50","550.50","0.01K","0.00%"
"Jun 26, 2018","550.50","550.50","550.50","550.50","-","0.00%"
"Jun 25, 2018","550.50","550.50","550.50","550.50","0.01K","0.00%"
"Jun 22, 2018","550.50","550.50","550.50","550.50","0.08K","0.73%"
"Jun 21, 2018","546.50","546.50","546.50","546.50","-","0.00%"
"Jun 20, 2018","546.50","546.50","546.50","546.50","-","0.46%"
"Jun 19, 2018","544.00","544.00","544.00","544.00","-","0.00%"
"Jun 18, 2018","544.00","544.00","544.00","544.00","-","0.00%"
"Jun 15, 2018","544.00","544.00","544.00","544.00","-","0.00%"
"Jun 14, 2018","544.00","544.00","544.00","544.00","0.06K","-1.09%"
"Jun 13, 2018","550.00","550.00","550.00","550.00","-","0.00%"
"Jun 12, 2018","550.00","550.00","550.00","550.00","-","0.00%"
"Jun 11, 2018","550.00","550.00","550.00","550.00","-","0.00%"
"Jun 08, 2018","550.00","550.00","550.00","550.00","0.04K","0.73%"
"Jun 07, 2018","546.00","546.00","546.00","546.00","-","0.00%"
"Jun 06, 2018","546.00","546.00","546.00","546.00","-","0.00%"
"Jun 05, 2018","546.00","546.00","546.00","546.00","0.05K","2.25%"
"Jun 04, 2018","534.00","534.00","534.00","534.00","-","0.00%"
"Jun 01, 2018","534.00","534.00","534.00","534.00","0.02K","-3.14%"
"May 31, 2018","551.31","551.31","551.31","551.31","-","-0.66%"
"May 30, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"May 29, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"May 25, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"May 24, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"May 23, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"May 22, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"May 21, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"May 18, 2018","555.00","555.00","555.00","555.00","-","-1.94%"
"May 17, 2018","566.00","566.00","566.00","566.00","0.01K","0.18%"
"May 16, 2018","565.00","565.00","565.00","565.00","-","-0.09%"
"May 15, 2018","565.50","565.50","565.50","565.50","0.03K","0.00%"
"May 14, 2018","565.50","565.50","565.50","565.50","0.03K","1.34%"
"May 11, 2018","558.00","558.00","558.00","558.00","-","0.36%"
"May 10, 2018","556.00","556.00","556.00","556.00","-","0.00%"
"May 09, 2018","556.00","556.00","556.00","556.00","-","0.00%"
"May 08, 2018","556.00","556.00","556.00","556.00","-","0.00%"
"May 04, 2018","556.00","556.00","556.00","556.00","-","0.00%"
"May 03, 2018","556.00","556.00","556.00","556.00","-","0.00%"
"May 02, 2018","556.00","556.00","556.00","556.00","-","0.00%"
"May 01, 2018","556.00","556.00","556.00","556.00","-","0.13%"
"Apr 30, 2018","555.28","555.28","555.28","555.28","-","0.05%"
"Apr 27, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"Apr 26, 2018","555.00","555.00","555.00","555.00","0.31K","0.00%"
"Apr 25, 2018","555.00","555.00","555.00","555.00","0.54K","0.00%"
"Apr 24, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"Apr 23, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"Apr 20, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"Apr 19, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"Apr 18, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"Apr 17, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"Apr 16, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"Apr 13, 2018","555.00","555.00","555.00","555.00","-","0.00%"
"Apr 12, 2018","555.00","555.00","555.00","555.00","0.02K","0.82%"
"Apr 11, 2018","550.50","550.50","550.50","550.50","-","0.00%"
"Apr 10, 2018","550.50","550.50","550.50","550.50","-","0.00%"
