Date,Price,Open,High,Low,Vol.,Change %
4-Mar-15,100.31,100.62,100.62,99.98,32.06K,-0.05%
3-Mar-15,100.36,100.74,100.74,99.78,28.67K,0.01%
2-Mar-15,100.35,100.62,101.03,99.9,34.22K,-0.27%
26-Feb-15,100.62,101.03,101.17,100.55,28.03K,-0.66%
25-Feb-15,101.29,102,102.05,100.85,32.56K,-0.70%
24-Feb-15,102,101.65,102.04,101.34,34.23K,0.48%
13-Feb-15,101.51,101.36,101.63,100.97,26.69K,0.15%
12-Feb-15,101.36,100.96,101.36,100.28,28.01K,0.66%
11-Feb-15,100.7,100.38,100.84,100.36,22.28K,0.32%
10-Feb-15,100.38,100.75,100.86,100.28,26.51K,0.02%
9-Feb-15,100.36,100.85,101.11,100.31,26.62K,-0.74%
6-Feb-15,101.11,101.06,101.49,100.89,18.65K,-0.33%
5-Feb-15,101.44,101.03,101.44,100.85,17.31K,0.54%
4-Feb-15,100.9,101.08,101.81,100.84,29.62K,-0.31%
3-Feb-15,101.21,101.26,101.57,100.97,33.43K,-0.05%
2-Feb-15,101.26,102.1,102.15,100.98,35.99K,-0.82%
30-Jan-15,102.1,101.86,102.1,101.3,33.51K,0.74%
29-Jan-15,101.35,101.52,101.98,101.35,26.33K,-0.68%
28-Jan-15,102.04,101.49,102.04,101.37,21.56K,0.04%
27-Jan-15,102,101.93,102.05,101.43,25.86K,0.32%
26-Jan-15,101.67,101.79,101.92,100.77,30.04K,-0.63%
23-Jan-15,102.31,102.25,102.47,101.86,32.87K,0.06%
22-Jan-15,102.25,101.74,102.37,101.69,43.38K,0.12%
21-Jan-15,102.13,101.77,102.13,101.49,23.37K,0.35%
20-Jan-15,101.77,100.59,101.8,100.59,24.23K,1.30%
19-Jan-15,100.46,100.57,101.79,100.27,27.28K,0.15%
16-Jan-15,100.31,101.12,101.27,99.98,32.71K,-0.67%
15-Jan-15,100.99,101.62,101.88,100.99,34.66K,-0.88%
14-Jan-15,101.89,101.67,101.94,101.37,36.46K,0.22%
13-Jan-15,101.67,101.45,102.34,101.44,32.01K,0.23%
12-Jan-15,101.44,101.64,101.96,101.44,26.40K,-0.32%
9-Jan-15,101.77,102.07,102.32,101.74,23.92K,-0.04%
