ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-03-24,99.63613684823763,71.50087810287707,73.57182653818397,99.31569395143349,99.93997488571014,-23.060920481461697,-23.060920481461697,-23.060920481461697,-19.56360504757081,-19.56360504757081,-19.56360504757081,15.773044738042579,15.773044738042579,15.773044738042579,-27.121050340141128,-27.121050340141128,-27.121050340141128,-26.85148079098993,-26.85148079098993,-26.85148079098993,-0.4363203626315936,-0.4363203626315936,-0.4363203626315936,0.16675081348039175,0.16675081348039175,0.16675081348039175,0.0,0.0,0.0,72.5150865080965
2020-03-25,99.64048929528406,72.98819393215821,75.1884328200039,99.31226700497213,99.9495828231972,-21.6149382873773,-21.6149382873773,-21.6149382873773,-18.25833878576859,-18.25833878576859,-18.25833878576859,14.691086750236094,14.691086750236094,14.691086750236094,-25.521288258426043,-25.521288258426043,-25.521288258426043,-25.182190322909797,-25.182190322909797,-25.182190322909797,-0.5047506353764694,-0.5047506353764694,-0.5047506353764694,0.16565269986022402,0.16565269986022402,0.16565269986022402,0.0,0.0,0.0,74.11920103685802
2020-03-26,99.6448417423305,75.03946550876952,77.14485880261044,99.30890680086182,99.96100478067397,-20.55222848208637,-20.55222848208637,-20.55222848208637,-17.30004203659731,-17.30004203659731,-17.30004203659731,14.684448971169795,14.684448971169795,14.684448971169795,-23.549151351758894,-23.549151351758894,-23.549151351758894,-23.16782154751389,-23.16782154751389,-23.16782154751389,-0.545308727454162,-0.545308727454162,-0.545308727454162,0.16397892320915544,0.16397892320915544,0.16397892320915544,0.0,0.0,0.0,76.0956903905716
2020-03-27,99.64919418937691,74.50582976731772,76.77377877355521,99.30822780002818,99.96923888717217,-20.48254259321483,-20.48254259321483,-20.48254259321483,-16.853938377500356,-16.853938377500356,-16.853938377500356,13.688782111225157,13.688782111225157,13.688782111225157,-24.026114102903072,-24.026114102903072,-24.026114102903072,-23.64769885949003,-23.64769885949003,-23.64769885949003,-0.5401923331896715,-0.5401923331896715,-0.5401923331896715,0.16177708977662997,0.16177708977662997,0.16177708977662997,0.0,0.0,0.0,75.62308008647383
2020-03-30,99.66225153051622,75.18001342569305,77.29383638033296,99.30702809283274,100.00018538043786,-20.195088301619755,-20.195088301619755,-20.195088301619755,-16.316961750809547,-16.316961750809547,-16.316961750809547,13.536113192700325,13.536113192700325,13.536113192700325,-23.381336513787375,-23.381336513787375,-23.381336513787375,-22.97593685972898,-22.97593685972898,-22.97593685972898,-0.5580997562634397,-0.5580997562634397,-0.5580997562634397,0.1527001022050409,0.1527001022050409,0.1527001022050409,0.0,0.0,0.0,76.28091501672884
2020-03-31,99.66660397756264,73.0554054778768,75.22698126485741,99.30623531722516,100.01054569661213,-21.675913440139908,-21.675913440139908,-21.675913440139908,-17.845279842160277,-17.845279842160277,-17.845279842160277,14.345922238788626,14.345922238788626,14.345922238788626,-25.46246301923874,-25.46246301923874,-25.46246301923874,-25.175271043511557,-25.175271043511557,-25.175271043511557,-0.43632036262686946,-0.43632036262686946,-0.43632036262686946,0.14912838689968874,0.14912838689968874,0.14912838689968874,0.0,0.0,0.0,74.2041409583239
2020-04-01,99.67095642460907,73.79118107450337,76.01039623791436,99.30421538879575,100.02121145013605,-21.318773259673282,-21.318773259673282,-21.318773259673282,-17.38265382531898,-17.38265382531898,-17.38265382531898,14.345922238788626,14.345922238788626,14.345922238788626,-24.714825432205583,-24.714825432205583,-24.714825432205583,-24.355504846203633,-24.355504846203633,-24.355504846203633,-0.5047506353740695,-0.5047506353740695,-0.5047506353740695,0.14543004937212164,0.14543004937212164,0.14543004937212164,0.0,0.0,0.0,74.95613099240349
2020-04-06,99.69271865984123,73.24588074581014,75.45090375173723,99.29315288467951,100.07770481919867,-21.780442273447207,-21.780442273447207,-21.780442273447207,-17.630489191483957,-17.630489191483957,-17.630489191483957,14.51186671544606,14.51186671544606,14.51186671544606,-25.329608268214095,-25.329608268214095,-25.329608268214095,-24.899064749485106,-24.899064749485106,-24.899064749485106,-0.5580997562677245,-0.5580997562677245,-0.5580997562677245,0.12755623753873327,0.12755623753873327,0.12755623753873327,0.0,0.0,0.0,74.36311039162715
2020-04-07,99.69707110688766,73.31910331526664,75.57584228942905,99.29125427883986,100.08856173691446,-21.55396313461472,-21.55396313461472,-21.55396313461472,-17.894846915393273,-17.894846915393273,-17.894846915393273,14.518504494512351,14.518504494512351,14.518504494512351,-25.242217534963086,-25.242217534963086,-25.242217534963086,-24.93030555549564,-24.93030555549564,-24.93030555549564,-0.4363203626282492,-0.4363203626282492,-0.4363203626282492,0.12440838316080806,0.12440838316080806,0.12440838316080806,0.0,0.0,0.0,74.45485357192457
2020-04-08,99.70142355393409,74.95007999805345,77.15320822741934,99.28512441667706,100.09927276371208,-20.735153940374165,-20.735153940374165,-20.735153940374165,-16.763065409906517,-16.763065409906517,-16.763065409906517,14.252993331860454,14.252993331860454,14.252993331860454,-23.628560011856642,-23.628560011856642,-23.628560011856642,-23.245226018420226,-23.245226018420226,-23.245226018420226,-0.5047506353716695,-0.5047506353716695,-0.5047506353716695,0.12141664193525684,0.12141664193525684,0.12141664193525684,0.0,0.0,0.0,76.07286354207744
