ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-06-18,107.06376187878952,87.5564143838338,126.73645118958265,87.85737556600358,127.04113381757341,-0.6445807237823772,-0.6445807237823772,-0.6445807237823772,0.21650507435332142,0.21650507435332142,0.21650507435332142,-0.8610857981356986,-0.8610857981356986,-0.8610857981356986,0.0,0.0,0.0,106.41918115500714
2020-06-19,107.08853088784915,86.72161218013362,126.33660525539517,87.58049136553981,127.04531638616506,-0.7243700162487927,-0.7243700162487927,-0.7243700162487927,0.1818655877647424,0.1818655877647424,0.1818655877647424,-0.9062356040135351,-0.9062356040135351,-0.9062356040135351,0.0,0.0,0.0,106.36416087160035
2020-06-20,107.11329989690874,86.74166905425352,126.80609252538125,87.39397950977681,127.23866826941689,-0.4697524393667873,-0.4697524393667873,-0.4697524393667873,0.47747676282036894,0.47747676282036894,0.47747676282036894,-0.9472292021871562,-0.9472292021871562,-0.9472292021871562,0.0,0.0,0.0,106.64354745754196
2020-06-21,107.13806890596837,84.7254442671616,125.46141571707552,87.20989643807705,127.43202015266894,-2.4422429408634443,-2.4422429408634443,-2.4422429408634443,-1.459409116655207,-1.459409116655207,-1.459409116655207,-0.9828338242082373,-0.9828338242082373,-0.9828338242082373,0.0,0.0,0.0,104.69582596510492
2020-06-22,107.16283791502799,86.40023478301673,126.82960685609663,87.0330069969007,127.59429910998567,-0.8819185850680777,-0.8819185850680777,-0.8819185850680777,0.13000996157814174,0.13000996157814174,0.13000996157814174,-1.0119285466462196,-1.0119285466462196,-1.0119285466462196,0.0,0.0,0.0,106.28091932995991
2020-06-23,107.18760692408762,86.29888906560126,127.07023465039806,86.86467826324103,127.82781507216067,-0.7935799311416252,-0.7935799311416252,-0.7935799311416252,0.2399520080856923,0.2399520080856923,0.2399520080856923,-1.0335319392273175,-1.0335319392273175,-1.0335319392273175,0.0,0.0,0.0,106.394026992946
2020-06-24,107.21237593314721,85.49281043722527,127.73858407643465,86.68982472742033,128.0301302569325,-0.8332262154059422,-0.8332262154059422,-0.8332262154059422,0.2135997220596949,0.2135997220596949,0.2135997220596949,-1.0468259374656372,-1.0468259374656372,-1.0468259374656372,0.0,0.0,0.0,106.37914971774127
2020-06-25,107.23714494220684,85.9894593984357,127.8759422488224,86.51930054108165,128.23752829647742,-0.8346702975339837,-0.8346702975339837,-0.8346702975339837,0.21650507435267363,0.21650507435267363,0.21650507435267363,-1.0511753718866574,-1.0511753718866574,-1.0511753718866574,0.0,0.0,0.0,106.40247464467285
2020-06-26,107.26191395126644,85.96673335148866,127.4851236615029,86.4634309100947,128.44990634394242,-0.8642771191884397,-0.8642771191884397,-0.8642771191884397,0.18186558776424464,0.18186558776424464,0.18186558776424464,-1.0461427069526843,-1.0461427069526843,-1.0461427069526843,0.0,0.0,0.0,106.39763683207799
2020-06-27,107.28668296032606,85.88835304175133,128.58396769504182,86.28770703293094,128.67595102368742,-0.5540209118173103,-0.5540209118173103,-0.5540209118173103,0.47747676281980816,0.47747676281980816,0.47747676281980816,-1.0314976746371185,-1.0314976746371185,-1.0314976746371185,0.0,0.0,0.0,106.73266204850876
