id,c_name,c_date,c_price,c_open,c_high,c_low
5221,道瓊鋼鐵指數,2016-09-26,200.48,199.51,201.39,198.69
5222,道瓊鋼鐵指數,2016-09-23,199.9,197.15,201.01,196.93
5223,道瓊鋼鐵指數,2016-09-22,197.48,198.36,200.98,197.14
5224,道瓊鋼鐵指數,2016-09-21,196.26,189.92,196.43,189.92
5225,道瓊鋼鐵指數,2016-09-20,189.25,188.93,189.98,188.16
5226,道瓊鋼鐵指數,2016-09-19,188.98,187.34,190.51,187.34
5227,道瓊鋼鐵指數,2016-09-16,185.52,185.47,186.92,184.44
5228,道瓊鋼鐵指數,2016-09-15,185.95,183.89,186.59,182.9
5229,道瓊鋼鐵指數,2016-09-14,184.29,184.81,185.2,182.01
5230,道瓊鋼鐵指數,2016-09-13,185.67,191.14,191.14,183.87
5231,道瓊鋼鐵指數,2016-09-12,193.18,187.94,193.84,187.22
5232,道瓊鋼鐵指數,2016-09-09,190.15,197.72,197.72,190.06
5233,道瓊鋼鐵指數,2016-09-08,199.86,202.5,202.5,199.62
5234,道瓊鋼鐵指數,2016-09-07,203.09,201.23,203.09,200.29
5235,道瓊鋼鐵指數,2016-09-06,202.16,199.19,202.18,197.41
5236,道瓊鋼鐵指數,2016-09-02,198.25,201.89,203.55,197.13
5237,道瓊鋼鐵指數,2016-09-01,199.45,198.37,200.16,196.36
5238,道瓊鋼鐵指數,2016-08-31,197.9,197.39,198.48,196.12
5239,道瓊鋼鐵指數,2016-08-30,198.57,201.79,201.88,197.82
5240,道瓊鋼鐵指數,2016-08-29,202.54,198.5,202.88,198.34
5241,道瓊鋼鐵指數,2016-08-26,198.52,200.11,204.03,197.92
5242,道瓊鋼鐵指數,2016-08-25,199.2,198.93,201.39,198.52
5243,道瓊鋼鐵指數,2016-08-24,199.05,203.83,203.83,198.77
5244,道瓊鋼鐵指數,2016-08-23,204.47,205.67,208.04,204.43
5245,道瓊鋼鐵指數,2016-08-22,204.41,201.9,204.44,201.01
5246,道瓊鋼鐵指數,2016-08-19,202.28,206.02,206.02,201.47
5247,道瓊鋼鐵指數,2016-08-18,207.76,206.29,207.78,204.92
5248,道瓊鋼鐵指數,2016-08-17,205.7,205.95,206.66,204.04
5249,道瓊鋼鐵指數,2016-08-16,206.21,210.07,210.68,206.19
5250,道瓊鋼鐵指數,2016-08-15,209.49,205.43,210.65,205.39
5251,道瓊鋼鐵指數,2016-08-12,204.46,210.74,210.74,204.24
5252,道瓊鋼鐵指數,2016-08-11,210.86,210.63,211.47,208.89
5253,道瓊鋼鐵指數,2016-08-10,210.63,213.28,213.52,210.53
