c_name,c_date,c_price,c_open,c_high,c_low
道瓊鋼鐵指數,2020-06-03,186.99,184.96,188.81,183.89
道瓊鋼鐵指數,2020-06-02,181.34,180.92,182.72,179.96
道瓊鋼鐵指數,2020-06-01,178.76,176.99,180.17,175.65
道瓊鋼鐵指數,2020-05-29,176.55,176.44,176.78,173.02
道瓊鋼鐵指數,2020-05-28,178.36,183.06,184.12,177.62
道瓊鋼鐵指數,2020-05-27,181.64,176.38,181.84,176.0
道瓊鋼鐵指數,2020-05-26,173.16,167.55,174.94,167.55
道瓊鋼鐵指數,2020-05-22,164.53,165.85,166.17,161.63
道瓊鋼鐵指數,2020-05-21,165.71,167.15,169.26,165.26
道瓊鋼鐵指數,2020-05-20,167.46,166.94,171.05,166.94
道瓊鋼鐵指數,2020-05-19,165.31,166.82,169.5,165.31
道瓊鋼鐵指數,2020-05-18,167.47,163.08,169.22,163.08
道瓊鋼鐵指數,2020-05-15,155.24,152.26,155.39,150.17
道瓊鋼鐵指數,2020-05-14,153.0,147.88,153.05,144.74
道瓊鋼鐵指數,2020-05-13,151.08,155.87,156.0,149.22
道瓊鋼鐵指數,2020-05-12,158.19,166.65,166.81,158.19
道瓊鋼鐵指數,2020-05-11,165.91,170.35,170.35,164.54
道瓊鋼鐵指數,2020-05-08,172.36,168.54,172.51,168.42
道瓊鋼鐵指數,2020-05-07,165.41,165.19,168.63,165.0
道瓊鋼鐵指數,2020-05-06,162.43,164.64,165.73,161.37
道瓊鋼鐵指數,2020-05-05,164.25,168.07,171.41,164.04
道瓊鋼鐵指數,2020-05-04,165.1,162.26,166.55,160.75
道瓊鋼鐵指數,2020-05-01,164.64,162.61,168.98,161.71
道瓊鋼鐵指數,2020-04-30,166.24,171.29,172.69,166.02
道瓊鋼鐵指數,2020-04-29,175.17,169.76,177.17,169.75
道瓊鋼鐵指數,2020-04-28,165.02,164.97,169.07,161.39
道瓊鋼鐵指數,2020-04-27,165.17,156.41,167.7,156.0
道瓊鋼鐵指數,2020-04-24,155.29,157.97,159.51,154.55
道瓊鋼鐵指數,2020-04-23,155.45,152.11,159.35,151.49
道瓊鋼鐵指數,2020-04-22,150.25,153.62,153.72,149.32
道瓊鋼鐵指數,2020-04-21,149.19,146.5,150.9,144.94
道瓊鋼鐵指數,2020-04-20,151.7,153.87,155.52,150.32
道瓊鋼鐵指數,2020-04-17,156.83,153.77,157.58,153.48
道瓊鋼鐵指數,2020-04-16,148.6,148.92,149.26,144.61
道瓊鋼鐵指數,2020-04-15,148.33,150.84,150.84,145.73
道瓊鋼鐵指數,2020-04-14,159.63,164.46,166.17,157.92
道瓊鋼鐵指數,2020-04-13,160.35,164.25,165.05,158.9
道瓊鋼鐵指數,2020-04-09,164.86,165.24,170.3,163.25
道瓊鋼鐵指數,2020-04-08,161.65,157.67,164.28,155.69
道瓊鋼鐵指數,2020-04-07,155.42,162.32,163.27,154.95
道瓊鋼鐵指數,2020-04-06,154.7,152.84,156.57,152.68
道瓊鋼鐵指數,2020-04-03,145.27,147.16,150.62,143.78
道瓊鋼鐵指數,2020-04-02,148.92,149.61,154.82,144.15
道瓊鋼鐵指數,2020-04-01,149.44,146.8,153.07,145.45
道瓊鋼鐵指數,2020-03-31,153.26,150.31,157.77,147.99
道瓊鋼鐵指數,2020-03-30,149.78,142.14,150.46,137.65
道瓊鋼鐵指數,2020-03-27,142.33,142.22,145.63,140.53
道瓊鋼鐵指數,2020-03-26,147.63,138.67,148.12,135.55
道瓊鋼鐵指數,2020-03-25,136.91,139.59,145.0,132.05
道瓊鋼鐵指數,2020-03-24,138.43,128.6,138.98,128.6
道瓊鋼鐵指數,2020-03-23,122.25,128.71,129.73,121.01
道瓊鋼鐵指數,2020-03-20,128.19,132.51,136.48,126.92
道瓊鋼鐵指數,2020-03-19,130.69,121.57,135.11,119.34
道瓊鋼鐵指數,2020-03-18,121.97,128.57,129.79,118.62
道瓊鋼鐵指數,2020-03-17,134.86,134.64,139.82,129.54
道瓊鋼鐵指數,2020-03-16,132.34,150.54,150.88,131.74
道瓊鋼鐵指數,2020-03-13,154.44,145.09,154.44,141.85
道瓊鋼鐵指數,2020-03-12,139.37,155.36,155.36,138.62
道瓊鋼鐵指數,2020-03-11,156.8,162.02,162.02,153.64
道瓊鋼鐵指數,2020-03-10,166.01,162.6,166.64,155.13
道瓊鋼鐵指數,2020-03-09,156.59,173.22,173.22,156.54
道瓊鋼鐵指數,2020-03-06,179.41,181.09,184.61,176.78
道瓊鋼鐵指數,2020-03-05,184.89,191.5,191.5,182.59
道瓊鋼鐵指數,2020-03-04,195.28,192.9,195.48,189.83
道瓊鋼鐵指數,2020-03-03,189.79,193.33,198.83,187.33
道瓊鋼鐵指數,2020-03-02,193.11,189.23,193.13,184.17
道瓊鋼鐵指數,2020-02-28,187.61,186.91,188.95,182.04
道瓊鋼鐵指數,2020-02-27,190.57,196.55,198.43,189.21
道瓊鋼鐵指數,2020-02-26,198.8,203.05,204.76,198.8
道瓊鋼鐵指數,2020-02-25,201.19,210.44,210.63,200.89
