ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-02-01,202.46890666769474,144.67428373139288,162.32652201675145,202.46890666769474,202.46890666769474,-31.133982138292524,-31.133982138292524,-31.133982138292524,-60.750852691578295,-60.750852691578295,-60.750852691578295,34.601049771541035,34.601049771541035,34.601049771541035,-49.534303397367644,-49.534303397367644,-49.534303397367644,-57.28378505832979,-57.28378505832979,-57.28378505832979,7.74948166096215,7.74948166096215,7.74948166096215,0.0,0.0,0.0,152.9346032703271
2009-03-01,203.7063564970545,125.46978511260426,142.0825942268375,203.7063564970545,203.7063564970545,-55.56874376673443,-55.56874376673443,-55.56874376673443,-72.36809098317119,-72.36809098317119,-72.36809098317119,52.453707830443,52.453707830443,52.453707830443,-69.40968589940812,-69.40968589940812,-69.40968589940812,-75.48312691946262,-75.48312691946262,-75.48312691946262,6.073441020054499,6.073441020054499,6.073441020054499,0.0,0.0,0.0,134.29667059764637
2009-04-01,205.0763902367028,153.70901386038537,171.15181052601855,205.0763902367028,205.0763902367028,-35.594790115210564,-35.594790115210564,-35.594790115210564,-52.659876017748815,-52.659876017748815,-52.659876017748815,44.17919823197457,44.17919823197457,44.17919823197457,-42.86982615444255,-42.86982615444255,-42.86982615444255,-44.07546790098482,-44.07546790098482,-44.07546790098482,1.2056417465422637,1.2056417465422637,1.2056417465422637,0.0,0.0,0.0,162.20656408226023
2009-05-01,206.40222933958825,171.56748506975964,188.68599861058902,206.40222933958825,206.40222933958825,-21.078278104480468,-21.078278104480468,-21.078278104480468,-31.63678828286444,-31.63678828286444,-31.63678828286444,24.362917075209044,24.362917075209044,24.362917075209044,-26.135424390912917,-26.135424390912917,-26.135424390912917,-28.35214931213586,-28.35214931213586,-28.35214931213586,2.2167249212229465,2.2167249212229465,2.2167249212229465,0.0,0.0,0.0,180.26680494867531
2009-06-01,207.77226307923652,195.65820094061576,212.9519391220633,207.77226307923652,207.77226307923652,-2.231542958497492,-2.231542958497492,-2.231542958497492,-14.102605429179233,-14.102605429179233,-14.102605429179233,11.806604003319903,11.806604003319903,11.806604003319903,-3.5167148399042856,-3.5167148399042856,-3.5167148399042856,-4.527544384356823,-4.527544384356823,-4.527544384356823,1.0108295444525361,1.0108295444525361,1.0108295444525361,0.0,0.0,0.0,204.25554823933223
2009-07-01,209.098102182122,171.19971418983695,188.223073145379,209.098102182122,209.098102182122,-15.572717978941716,-15.572717978941716,-15.572717978941716,-27.475507742211196,-27.475507742211196,-27.475507742211196,11.250240380268547,11.250240380268547,11.250240380268547,-28.998173096078965,-28.998173096078965,-28.998173096078965,-31.79798534088437,-31.79798534088437,-31.79798534088437,2.799812244805403,2.799812244805403,2.799812244805403,0.0,0.0,0.0,180.09992908604303
2009-08-01,210.46813592177028,198.90808413937782,215.19477135101292,210.46813592177028,210.46813592177028,-8.740606322346975,-8.740606322346975,-8.740606322346975,-4.248509346143559,-4.248509346143559,-4.248509346143559,9.952069690403103,9.952069690403103,9.952069690403103,-3.4103927311457505,-3.4103927311457505,-3.4103927311457505,-3.0370459780874293,-3.0370459780874293,-3.0370459780874293,-0.3733467530583213,-0.3733467530583213,-0.3733467530583213,0.0,0.0,0.0,207.05774319062454
2009-09-01,211.8381696614186,210.34709387941797,226.74129463164198,211.8381696614186,211.8381696614186,7.906648408034536,7.906648408034536,7.906648408034536,-5.660507350737454,-5.660507350737454,-5.660507350737454,6.908445149626788,6.908445149626788,6.908445149626788,6.655371746501972,6.655371746501972,6.655371746501972,9.154586206923868,9.154586206923868,9.154586206923868,-2.499214460421897,-2.499214460421897,-2.499214460421897,0.0,0.0,0.0,218.49354140792056
2009-10-01,213.16400876430401,193.34200237121215,209.79797504152154,213.16400876430401,213.16400876430401,-0.9118610018765654,-0.9118610018765654,-0.9118610018765654,-12.810144421720675,-12.810144421720675,-12.810144421720675,-0.7769833455411196,-0.7769833455411196,-0.7769833455411196,-11.398150804152646,-11.398150804152646,-11.398150804152646,-14.498988769138363,-14.498988769138363,-14.498988769138363,3.1008379649857165,3.1008379649857165,3.1008379649857165,0.0,0.0,0.0,201.76585796015138
2009-11-01,214.53404250395235,204.2851568057264,221.51113726272052,214.53404250395235,214.53404250395235,-6.541136394645452,-6.541136394645452,-6.541136394645452,-15.888148000064419,-15.888148000064419,-15.888148000064419,15.935673190286243,15.935673190286243,15.935673190286243,-2.302587246583029,-2.302587246583029,-2.302587246583029,-6.493611204423626,-6.493611204423626,-6.493611204423626,4.191023957840597,4.191023957840597,4.191023957840597,0.0,0.0,0.0,212.23145525736933
