ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-09-01,-20723447.314640757,-172071824.26795697,97896975.9328798,-20723447.314640757,-20723447.314640757,-12983017.291031392,-12983017.291031392,-12983017.291031392,-12983017.291031392,-12983017.291031392,-12983017.291031392,0.0,0.0,0.0,-33706464.60567215
2012-10-01,-14032210.578901457,-166472782.91868636,101431236.64221051,-14032210.578901457,-14032210.578901457,-16855802.76941236,-16855802.76941236,-16855802.76941236,-16855802.76941236,-16855802.76941236,-16855802.76941236,0.0,0.0,0.0,-30888013.348313816
2012-11-01,-7117932.618637495,-199853784.69610792,65457116.942804426,-7117932.618637495,-7117932.618637495,-57430891.00810592,-57430891.00810592,-57430891.00810592,-57430891.00810592,-57430891.00810592,-57430891.00810592,0.0,0.0,0.0,-64548823.62674341
2012-12-01,-426695.8828981933,-105165740.34832844,174157861.88439277,-426695.8828981933,-426695.8828981933,39194758.700507686,39194758.700507686,39194758.700507686,39194758.700507686,39194758.700507686,39194758.700507686,0.0,0.0,0.0,38768062.81760949
2013-01-01,6487582.077365726,-50901253.21187865,228192290.71092713,6487582.077365726,6487582.077365726,79800634.99838401,79800634.99838401,79800634.99838401,79800634.99838401,79800634.99838401,79800634.99838401,0.0,0.0,0.0,86288217.07574974
2013-02-01,13401860.03762973,-84867054.74806997,185544723.1080275,13401860.03762973,13401860.03762973,40030395.037358366,40030395.037358366,40030395.037358366,40030395.037358366,40030395.037358366,40030395.037358366,0.0,0.0,0.0,53432255.0749881
2013-03-01,19647014.324319754,-104476026.70595384,155061053.04301763,19647014.324319754,19647014.324319754,15388407.292972207,15388407.292972207,15388407.292972207,15388407.292972207,15388407.292972207,15388407.292972207,0.0,0.0,0.0,35035421.61729196
2013-04-01,26561292.284583673,-69268262.96132685,198838947.97283965,26561292.284583673,26561292.284583673,37463492.04044492,37463492.04044492,37463492.04044492,37463492.04044492,37463492.04044492,37463492.04044492,0.0,0.0,0.0,64024784.32502859
2013-05-01,33252529.020323016,-79317197.8331084,192679250.4350003,33252529.020323016,33252529.020323016,21151432.96813852,21151432.96813852,21151432.96813852,21151432.96813852,21151432.96813852,21151432.96813852,0.0,0.0,0.0,54403961.98846154
2013-06-01,40166806.98058694,-64176401.49488868,211249670.17917144,40166806.98058694,40166806.98058694,31753471.454977673,31753471.454977673,31753471.454977673,31753471.454977673,31753471.454977673,31753471.454977673,0.0,0.0,0.0,71920278.4355646
2013-07-01,46858043.71632624,-80094566.08902419,195662998.0082862,46858043.71632624,46858043.71632624,16199423.182980299,16199423.182980299,16199423.182980299,16199423.182980299,16199423.182980299,16199423.182980299,0.0,0.0,0.0,63057466.899306536
2013-08-01,53772321.67659024,-102612579.11325023,175476008.89736122,53772321.67659024,53772321.67659024,-10238149.889446748,-10238149.889446748,-10238149.889446748,-10238149.889446748,-10238149.889446748,-10238149.889446748,0.0,0.0,0.0,43534171.78714349
2013-09-01,60686599.63685416,-71311848.92327638,191085256.11734477,60686599.63685416,60686599.63685416,-9905893.608687835,-9905893.608687835,-9905893.608687835,-9905893.608687835,-9905893.608687835,-9905893.608687835,0.0,0.0,0.0,50780706.028166324
2013-10-01,67377836.3725935,-70029218.97899519,194976550.76588213,67377836.3725935,67377836.3725935,-5321478.895127192,-5321478.895127192,-5321478.895127192,-5321478.895127192,-5321478.895127192,-5321478.895127192,0.0,0.0,0.0,62056357.477466315
2013-11-01,74292114.33285743,-89097967.16188991,178501706.28551054,74292114.33285743,74292114.33285743,-36607399.498607695,-36607399.498607695,-36607399.498607695,-36607399.498607695,-36607399.498607695,-36607399.498607695,0.0,0.0,0.0,37684714.834249735
2013-12-01,80983351.06859672,-33300842.62296487,241542333.30835333,80983351.06859672,80983351.06859672,25721773.894221112,25721773.894221112,25721773.894221112,25721773.894221112,25721773.894221112,25721773.894221112,0.0,0.0,0.0,106705124.96281783
2014-01-01,87897629.02886069,7019117.767671252,270330542.94170594,87897629.02886069,87897629.02886069,53614557.369973585,53614557.369973585,53614557.369973585,53614557.369973585,53614557.369973585,53614557.369973585,0.0,0.0,0.0,141512186.3988343
2014-02-01,94811906.98912464,-9067199.288322685,257672964.05134293,94811906.98912464,94811906.98912464,26875969.350225877,26875969.350225877,26875969.350225877,26875969.350225877,26875969.350225877,26875969.350225877,0.0,0.0,0.0,121687876.33935052
2014-03-01,101057061.27581467,13281543.562710434,284562586.17466235,101057061.27581467,101057061.27581467,46613694.5738126,46613694.5738126,46613694.5738126,46613694.5738126,46613694.5738126,46613694.5738126,0.0,0.0,0.0,147670755.84962726
2014-04-01,107971339.23607863,22625208.35087223,295530078.31474906,107971339.23607863,107971339.23607863,47937228.540499024,47937228.540499024,47937228.540499024,47937228.540499024,47937228.540499024,47937228.540499024,0.0,0.0,0.0,155908567.77657765
2014-05-01,114662575.97181794,1264946.944686,271732623.023908,114662575.97181794,114662575.97181794,14906584.471259382,14906584.471259382,14906584.471259382,14906584.471259382,14906584.471259382,14906584.471259382,0.0,0.0,0.0,129569160.44307733
2014-06-01,121576853.93208194,8582616.69206973,274116741.61711913,121576853.93208194,121576853.93208194,16699163.404096015,16699163.404096015,16699163.404096015,16699163.404096015,16699163.404096015,16699163.404096015,0.0,0.0,0.0,138276017.33617795
2014-07-01,128268090.66782124,2944847.343514181,273437278.17511266,128268090.66782124,128268090.66782124,12382587.297501504,12382587.297501504,12382587.297501504,12382587.297501504,12382587.297501504,12382587.297501504,0.0,0.0,0.0,140650677.96532273
2014-08-01,135182368.6280852,-17892666.133571986,254215290.35909346,135182368.6280852,135182368.6280852,-14005901.855153939,-14005901.855153939,-14005901.855153939,-14005901.855153939,-14005901.855153939,-14005901.855153939,0.0,0.0,0.0,121176466.77293126
2014-09-01,142096646.58834907,91602.28045934052,273155451.1340476,142096646.58834907,142096646.58834907,-6458128.84942088,-6458128.84942088,-6458128.84942088,-6458128.84942088,-6458128.84942088,-6458128.84942088,0.0,0.0,0.0,135638517.7389282
2014-10-01,148787883.32408836,19817606.562999234,278303122.0706853,148787883.32408836,148787883.32408836,6352849.748713087,6352849.748713087,6352849.748713087,6352849.748713087,6352849.748713087,6352849.748713087,0.0,0.0,0.0,155140733.07280144
2014-11-01,155702161.2843524,6628346.000133332,274330523.05444956,155702161.2843524,155702161.2843524,-16273236.134586051,-16273236.134586051,-16273236.134586051,-16273236.134586051,-16273236.134586051,-16273236.134586051,0.0,0.0,0.0,139428925.14976633
2014-12-01,162393398.02009168,49361518.077867284,318703198.17818934,162393398.02009168,162393398.02009168,11500979.927756865,11500979.927756865,11500979.927756865,11500979.927756865,11500979.927756865,11500979.927756865,0.0,0.0,0.0,173894377.94784856
2015-01-01,169307675.98035568,64466153.700311854,333278399.3115583,169307675.98035568,169307675.98035568,27464447.003811505,27464447.003811505,27464447.003811505,27464447.003811505,27464447.003811505,27464447.003811505,0.0,0.0,0.0,196772122.9841672
2015-02-01,176221953.94061962,55519401.15674081,321838984.2024755,176221953.94061962,176221953.94061962,14557352.12770494,14557352.12770494,14557352.12770494,14557352.12770494,14557352.12770494,14557352.12770494,0.0,0.0,0.0,190779306.06832457
2015-03-01,182467108.22730967,124537828.529456,393067971.3479712,182467108.22730967,182467108.22730967,78099380.93607403,78099380.93607403,78099380.93607403,78099380.93607403,78099380.93607403,78099380.93607403,0.0,0.0,0.0,260566489.16338372
2015-04-01,189381386.18757358,116994967.90894929,384417948.8903344,189381386.18757358,189381386.18757358,57847519.706626646,57847519.706626646,57847519.706626646,57847519.706626646,57847519.706626646,57847519.706626646,0.0,0.0,0.0,247228905.89420024
2015-05-01,196072622.9233129,74560741.32621801,335214429.3307582,196072622.9233129,196072622.9233129,8125898.603671993,8125898.603671993,8125898.603671993,8125898.603671993,8125898.603671993,8125898.603671993,0.0,0.0,0.0,204198521.5269849
2015-06-01,202986900.8835768,78057735.32491484,334817127.9405614,202986900.8835768,202986900.8835768,1543984.9510456873,1543984.9510456873,1543984.9510456873,1543984.9510456873,1543984.9510456873,1543984.9510456873,0.0,0.0,0.0,204530885.8346225
2015-07-01,209678137.6193162,88072533.86655001,353195714.53569835,209678137.6193162,209678137.6193162,8804554.686536063,8804554.686536063,8804554.686536063,8804554.686536063,8804554.686536063,8804554.686536063,0.0,0.0,0.0,218482692.30585226
2015-08-01,216592415.57958013,68817506.79893123,322086473.7097392,216592415.57958013,216592415.57958013,-17451810.990554236,-17451810.990554236,-17451810.990554236,-17451810.990554236,-17451810.990554236,-17451810.990554236,0.0,0.0,0.0,199140604.58902588
2015-09-01,223506693.53984404,91172055.06403331,364676630.3596344,223506693.53984404,223506693.53984404,-2647001.5109592574,-2647001.5109592574,-2647001.5109592574,-2647001.5109592574,-2647001.5109592574,-2647001.5109592574,0.0,0.0,0.0,220859692.02888477
2015-10-01,230197930.27558333,106649474.4091788,386286330.6946865,230197930.27558333,230197930.27558333,18145299.165948916,18145299.165948916,18145299.165948916,18145299.165948916,18145299.165948916,18145299.165948916,0.0,0.0,0.0,248343229.44153225
2015-11-01,237112208.23584735,89971241.45088626,378327121.78835744,237112208.23584735,237112208.23584735,3547135.8148969756,3547135.8148969756,3547135.8148969756,3547135.8148969756,3547135.8148969756,3547135.8148969756,0.0,0.0,0.0,240659344.05074432
2015-12-01,243803444.97158664,110612812.68433008,380663494.13344395,243803444.97158664,243803444.97158664,-3447477.276089333,-3447477.276089333,-3447477.276089333,-3447477.276089333,-3447477.276089333,-3447477.276089333,0.0,0.0,0.0,240355967.6954973
2016-01-01,250717722.93185064,122418238.88902959,392706694.6311751,250717722.93185064,250717722.93185064,1389213.7138509785,1389213.7138509785,1389213.7138509785,1389213.7138509785,1389213.7138509785,1389213.7138509785,0.0,0.0,0.0,252106936.64570162
2016-02-01,257632000.8921145,122470937.03456819,402181789.93481874,257632000.8921145,257632000.8921145,3091736.8285531574,3091736.8285531574,3091736.8285531574,3091736.8285531574,3091736.8285531574,3091736.8285531574,0.0,0.0,0.0,260723737.72066766
2016-03-01,264100196.40332925,111298817.05610658,379353894.72176594,264100196.40332925,264100196.40332925,-15536134.576720243,-15536134.576720243,-15536134.576720243,-15536134.576720243,-15536134.576720243,-15536134.576720243,0.0,0.0,0.0,248564061.82660902
2016-04-01,271014474.36359316,162479463.36703256,431837311.2143835,271014474.36359316,271014474.36359316,26447554.831272934,26447554.831272934,26447554.831272934,26447554.831272934,26447554.831272934,26447554.831272934,0.0,0.0,0.0,297462029.1948661
2016-05-01,277705711.09933245,162222812.68255776,440817071.418804,277705711.09933245,277705711.09933245,26851434.734683797,26851434.734683797,26851434.734683797,26851434.734683797,26851434.734683797,26851434.734683797,0.0,0.0,0.0,304557145.83401626
2016-06-01,284619989.0595965,205301276.01057288,464899176.87452817,284619989.0595965,284619989.0595965,46685086.6811884,46685086.6811884,46685086.6811884,46685086.6811884,46685086.6811884,46685086.6811884,0.0,0.0,0.0,331305075.7407849
2016-07-01,291311225.79533577,170665963.21364182,446328994.5403414,291311225.79533577,291311225.79533577,20243802.641375072,20243802.641375072,20243802.641375072,20243802.641375072,20243802.641375072,20243802.641375072,0.0,0.0,0.0,311555028.43671083
2016-08-01,298225503.7555997,149173175.96593136,430173270.2397174,298225503.7555997,298225503.7555997,-6153608.088265139,-6153608.088265139,-6153608.088265139,-6153608.088265139,-6153608.088265139,-6153608.088265139,0.0,0.0,0.0,292071895.66733456
2016-09-01,305139781.71586365,156741225.70459065,430134994.9900427,305139781.71586365,305139781.71586365,-12983017.291034704,-12983017.291034704,-12983017.291034704,-12983017.291034704,-12983017.291034704,-12983017.291034704,0.0,0.0,0.0,292156764.42482895
