ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Adj Close,Adj Close_lower,Adj Close_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,Volume,Volume_lower,Volume_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-10-01,212.04314849401425,76.11793464753566,76.51722767860907,212.04314849401425,212.04314849401425,-135.74199543101673,-135.74199543101673,-135.74199543101673,0.02173930999840618,0.02173930999840618,0.02173930999840618,0.00025402925272644027,0.00025402925272644027,0.00025402925272644027,0.001483017343347073,0.001483017343347073,0.001483017343347073,1.2098812146919614e-06,1.2098812146919614e-06,1.2098812146919614e-06,-135.72510819969128,-135.72510819969128,-135.72510819969128,-135.718517864541,-135.718517864541,-135.718517864541,-0.006590335150246394,-0.006590335150246394,-0.006590335150246394,0.0,0.0,0.0,76.31804029432297
2003-11-01,212.04081735704995,79.03239496141249,79.43410985288317,212.04081735704995,212.04081735704995,-132.83141591793827,-132.83141591793827,-132.83141591793827,0.021404348128637358,0.021404348128637358,0.021404348128637358,0.00023407647933558313,0.00023407647933558313,0.00023407647933558313,0.0013511640512534314,0.0013511640512534314,0.0013511640512534314,1.2123763037693212e-06,1.2123763037693212e-06,1.2123763037693212e-06,-132.80230199903096,-132.80230199903096,-132.80230199903096,-132.80842511690275,-132.80842511690275,-132.80842511690275,0.006123117871789674,0.006123117871789674,0.006123117871789674,0.0,0.0,0.0,79.23851535801899
2003-12-01,212.0385614180523,96.10785480707486,96.50702233849356,212.0385614180523,212.0385614180523,-115.76804241303415,-115.76804241303415,-115.76804241303415,0.018401241975907673,0.018401241975907673,0.018401241975907673,0.0002253929707346296,0.0002253929707346296,0.0002253929707346296,0.0013216192541606075,0.0013216192541606075,0.0013216192541606075,1.2009574207942934e-06,1.2009574207942934e-06,1.2009574207942934e-06,-115.74559624066184,-115.74559624066184,-115.74559624066184,-115.74809295787593,-115.74809295787593,-115.74809295787593,0.00249671721409022,0.00249671721409022,0.00249671721409022,0.0,0.0,0.0,96.29296517739046
2004-01-01,212.036230281088,92.12398555855422,92.52685085032164,212.036230281088,212.036230281088,-119.72882512858604,-119.72882512858604,-119.72882512858604,0.018362258722525854,0.018362258722525854,0.018362258722525854,0.00020736987328286353,0.00020736987328286353,0.00020736987328286353,0.0011513378274626916,0.0011513378274626916,0.0011513378274626916,1.2045044517480955e-06,1.2045044517480955e-06,1.2045044517480955e-06,-119.70995866232845,-119.70995866232845,-119.70995866232845,-119.70910295765832,-119.70910295765832,-119.70910295765832,-0.000855704670118188,-0.000855704670118188,-0.000855704670118188,0.0,0.0,0.0,92.32627161875955
2004-02-01,212.03479357527922,102.14697420841925,102.56856372603472,212.03479357527922,212.03479357527922,-109.69684154611107,-109.69684154611107,-109.69684154611107,0.018002752494128794,0.018002752494128794,0.018002752494128794,0.0002041280294829528,0.0002041280294829528,0.0002041280294829528,0.0011906642830856566,0.0011906642830856566,0.0011906642830856566,1.2098411700524477e-06,1.2098411700524477e-06,1.2098411700524477e-06,-109.67997296581771,-109.67997296581771,-109.67997296581771,-109.67744279146319,-109.67744279146319,-109.67744279146319,-0.0025301743545045785,-0.0025301743545045785,-0.0025301743545045785,0.0,0.0,0.0,102.35482060946151
2004-03-01,212.03344956016778,103.10554028464492,103.49071126816774,212.03344956016778,212.03344956016778,-108.75665309074071,-108.75665309074071,-108.75665309074071,0.017165347268940243,0.017165347268940243,0.017165347268940243,0.0001982425344312031,0.0001982425344312031,0.0001982425344312031,0.0010906513365905744,0.0010906513365905744,0.0010906513365905744,1.199386438782623e-06,1.199386438782623e-06,1.199386438782623e-06,-108.73681238482939,-108.73681238482939,-108.73681238482939,-108.7381976502143,-108.7381976502143,-108.7381976502143,0.0013852653849177265,0.0013852653849177265,0.0013852653849177265,0.0,0.0,0.0,103.29663717533839
2004-04-01,212.03509672164978,89.98941832818036,90.37534376557856,212.03509672164978,212.03509672164978,-121.869247995613,-121.869247995613,-121.869247995613,0.0170455125938299,0.0170455125938299,0.0170455125938299,0.00020198609618360803,0.00020198609618360803,0.00020198609618360803,0.001081568367955443,0.001081568367955443,0.001081568367955443,1.2006601663548305e-06,1.2006601663548305e-06,1.2006601663548305e-06,-121.85226828587211,-121.85226828587211,-121.85226828587211,-121.85091772789487,-121.85091772789487,-121.85091772789487,-0.0013505579772544211,-0.0013505579772544211,-0.0013505579772544211,0.0,0.0,0.0,90.18282843577767
2004-05-01,212.0366907488904,97.94668628027509,98.34568638870071,212.0366907488904,212.0366907488904,-113.90767373333343,-113.90767373333343,-113.90767373333343,0.01853407143598964,0.01853407143598964,0.01853407143598964,0.00021501135908503824,0.00021501135908503824,0.00021501135908503824,0.0012127230082298185,0.0012127230082298185,0.0012127230082298185,1.2023220188946272e-06,1.2023220188946272e-06,1.2023220188946272e-06,-113.88871295023631,-113.88871295023631,-113.88871295023631,-113.8877107252081,-113.8877107252081,-113.8877107252081,-0.0010022250282108618,-0.0010022250282108618,-0.0010022250282108618,0.0,0.0,0.0,98.1479777986541
2004-06-01,212.03833791037243,114.74960749122899,115.14757381779287,212.03833791037243,212.03833791037243,-97.10435381561973,-97.10435381561973,-97.10435381561973,0.016185006018262053,0.016185006018262053,0.016185006018262053,0.0001914693936002426,0.0001914693936002426,0.0001914693936002426,0.001132672717193868,0.001132672717193868,0.001132672717193868,1.204526014246295e-06,1.204526014246295e-06,1.204526014246295e-06,-97.08968436507986,-97.08968436507986,-97.08968436507986,-97.08684346296467,-97.08684346296467,-97.08684346296467,-0.002840902115210158,-0.002840902115210158,-0.002840902115210158,0.0,0.0,0.0,114.94865354529257
2004-07-01,212.04290449879332,125.97893412749221,126.38376962821619,212.04290449879332,212.04290449879332,-85.87212819058394,-85.87212819058394,-85.87212819058394,0.014605488087433087,0.014605488087433087,0.014605488087433087,0.00016231211493124544,0.00016231211493124544,0.00016231211493124544,0.0009657849815227776,0.0009657849815227776,0.0009657849815227776,1.1967650550729523e-06,1.1967650550729523e-06,1.1967650550729523e-06,-85.86172715154467,-85.86172715154467,-85.86172715154467,-85.856393408635,-85.856393408635,-85.856393408635,-0.005333742909677692,-0.005333742909677692,-0.005333742909677692,0.0,0.0,0.0,126.18117734724865
