ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,Volume,Volume_lower,Volume_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2005-05-01,214.65035111202295,129.45209587025073,152.91251266963556,214.65035111202295,214.65035111202295,-55.60852626179415,-55.60852626179415,-55.60852626179415,-47.1594677330206,-47.1594677330206,-47.1594677330206,28.968731207560065,28.968731207560065,28.968731207560065,0.49506527169611,0.49506527169611,0.49506527169611,-74.37544077087465,-74.37544077087465,-74.37544077087465,-73.30419751555857,-73.30419751555857,-73.30419751555857,-1.071243255316093,-1.071243255316093,-1.071243255316093,0.0,0.0,0.0,140.2749103411483
2005-06-01,214.7059822096258,129.7443098684599,152.8727931654478,214.7059822096258,214.7059822096258,-55.15113720597713,-55.15113720597713,-55.15113720597713,-46.89650273992325,-46.89650273992325,-46.89650273992325,28.931256560118953,28.931256560118953,28.931256560118953,0.4941308098442504,0.4941308098442504,0.4941308098442504,-73.08159642007763,-73.08159642007763,-73.08159642007763,-72.62225257593717,-72.62225257593717,-72.62225257593717,-0.45934384414045637,-0.45934384414045637,-0.45934384414045637,0.0,0.0,0.0,141.62438578954817
2005-07-01,214.7598187556931,146.5551648701845,168.22620900814982,214.7598187556931,214.7598187556931,-47.57561938242895,-47.57561938242895,-47.57561938242895,-46.384779457001315,-46.384779457001315,-46.384779457001315,34.13628049768391,34.13628049768391,34.13628049768391,0.4953076355883399,0.4953076355883399,0.4953076355883399,-57.94860308282944,-57.94860308282944,-57.94860308282944,-59.32881070615801,-59.32881070615801,-59.32881070615801,1.380207623328565,1.380207623328565,1.380207623328565,0.0,0.0,0.0,156.81121567286365
2005-08-01,214.81544986024335,147.43786966156318,171.22909305737835,214.81544986024335,214.81544986024335,-42.85879678900626,-42.85879678900626,-42.85879678900626,-32.30530751463485,-32.30530751463485,-32.30530751463485,22.07311651168025,22.07311651168025,22.07311651168025,0.4993234886368655,0.4993234886368655,0.4993234886368655,-55.17346499237394,-55.17346499237394,-55.17346499237394,-52.591664303323995,-52.591664303323995,-52.591664303323995,-2.581800689049946,-2.581800689049946,-2.581800689049946,0.0,0.0,0.0,159.6419848678694
2005-09-01,214.87108096479358,154.41155652254142,177.33135204337032,214.87108096479358,214.87108096479358,-40.43605135466069,-40.43605135466069,-40.43605135466069,-26.413397254207794,-26.413397254207794,-26.413397254207794,22.526999427915545,22.526999427915545,22.526999427915545,0.5012131493581017,0.5012131493581017,0.5012131493581017,-48.533113558395,-48.533113558395,-48.533113558395,-43.82123603159484,-43.82123603159484,-43.82123603159484,-4.711877526800157,-4.711877526800157,-4.711877526800157,0.0,0.0,0.0,166.33796740639858
2005-10-01,214.9249174778123,147.6437259939248,169.9788776665593,214.9249174778123,214.9249174778123,-40.285976534400966,-40.285976534400966,-40.285976534400966,-35.01317022728999,-35.01317022728999,-35.01317022728999,17.34695858864466,17.34695858864466,17.34695858864466,0.4992249878036597,0.4992249878036597,0.4992249878036597,-56.1596209039295,-56.1596209039295,-56.1596209039295,-57.45296318524264,-57.45296318524264,-57.45296318524264,1.293342281313141,1.293342281313141,1.293342281313141,0.0,0.0,0.0,158.7652965738828
2005-11-01,214.98054854126497,176.14536573707662,199.75183829857164,214.98054854126497,214.98054854126497,-29.6445245703788,-29.6445245703788,-29.6445245703788,-22.817116725669795,-22.817116725669795,-22.817116725669795,20.28675509197511,20.28675509197511,20.28675509197511,0.5008094255483176,0.5008094255483176,0.5008094255483176,-26.478777301242673,-26.478777301242673,-26.478777301242673,-31.674076778525166,-31.674076778525166,-31.674076778525166,5.195299477282496,5.195299477282496,5.195299477282496,0.0,0.0,0.0,188.5017712400223
2005-12-01,215.03438503881304,180.72810090588638,204.07039737534944,215.03438503881304,215.03438503881304,-23.93429870516567,-23.93429870516567,-23.93429870516567,-10.862718162237828,-10.862718162237828,-10.862718162237828,11.063448862336617,11.063448862336617,11.063448862336617,0.5021644600366938,0.5021644600366938,0.5021644600366938,-22.831731091140036,-22.831731091140036,-22.831731091140036,-23.231403545030187,-23.231403545030187,-23.231403545030187,0.3996724538901513,0.3996724538901513,0.3996724538901513,0.0,0.0,0.0,192.202653947673
2006-01-01,215.09001608627946,215.80302851180284,238.5000640755592,215.09001608627946,215.09001608627946,8.954856603616355,8.954856603616355,8.954856603616355,-5.2195553468237,-5.2195553468237,-5.2195553468237,10.109891272641862,10.109891272641862,10.109891272641862,0.49681690164449865,0.49681690164449865,0.49681690164449865,12.344114924921568,12.344114924921568,12.344114924921568,14.342009431079015,14.342009431079015,14.342009431079015,-1.9978945061574462,-1.9978945061574462,-1.9978945061574462,0.0,0.0,0.0,227.43413101120103
2006-02-01,215.14564712953077,218.3447404560028,241.41291383902706,215.14564712953077,215.14564712953077,11.649169633437008,11.649169633437008,11.649169633437008,15.547846876521518,15.547846876521518,15.547846876521518,-10.731025844125995,-10.731025844125995,-10.731025844125995,0.4986702725850801,0.4986702725850801,0.4986702725850801,14.660577253105403,14.660577253105403,14.660577253105403,16.964660938417612,16.964660938417612,16.964660938417612,-2.3040836853122086,-2.3040836853122086,-2.3040836853122086,0.0,0.0,0.0,229.80622438263617
