Date,Price,Open,High,Low,Vol.,Change %
20-Sep-18,514,516,516,516,-,-0.58%
19-Sep-18,516,519,519,519,-,0.00%
18-Sep-18,519,519,519,519,-,0.00%
17-Sep-18,519,519,519,519,-,0.00%
14-Sep-18,519,519,519,519,-,0.00%
13-Sep-18,519,519,519,519,-,0.00%
12-Sep-18,519,519,519,519,0.01K,0.00%
11-Sep-18,519,519,519,519,-,0.00%
10-Sep-18,519,519,519,519,0.02K,-0.95%
7-Sep-18,519,524,524,524,-,0.58%
6-Sep-18,524,521,521,521,-,0.00%
5-Sep-18,521,521,521,521,0.05K,1.76%
4-Sep-18,521,512,512,512,0.03K,-1.72%
3-Sep-18,512,520.95,520.95,520.95,-,0.76%
31-Aug-18,520.95,517,517,517,-,0.00%
30-Aug-18,517,517,517,517,-,0.00%
29-Aug-18,517,517,517,517,-,0.00%
28-Aug-18,517,517,517,517,0.02K,0.00%
24-Aug-18,517,517,517,517,-,0.00%
23-Aug-18,517,517,517,517,-,0.00%
22-Aug-18,517,517,517,517,-,0.00%
21-Aug-18,517,517,517,517,-,0.19%
20-Aug-18,517,516,516,516,0.02K,-0.77%
17-Aug-18,516,520,520,520,-,0.00%
16-Aug-18,520,520,520,520,-,0.00%
15-Aug-18,520,520,520,520,-,0.00%
14-Aug-18,520,520,520,520,-,0.00%
13-Aug-18,520,520,520,520,-,-1.89%
10-Aug-18,520,530,530,530,0.03K,0.00%
9-Aug-18,530,530,530,530,-,0.00%
8-Aug-18,530,530,530,530,0.03K,-1.67%
7-Aug-18,530,539,539,539,0.02K,-0.19%
6-Aug-18,539,540,540,540,0.03K,1.22%
3-Aug-18,540,533.5,533.5,533.5,0.03K,-1.93%
2-Aug-18,533.5,544,544,544,0.05K,0.28%
1-Aug-18,544,542.48,542.48,542.48,-,-0.46%
31-Jul-18,542.48,545,545,545,-,0.93%
30-Jul-18,545,540,540,540,-,0.00%
27-Jul-18,540,540,540,540,-,0.00%
26-Jul-18,540,540,540,540,-,0.00%
25-Jul-18,540,540,540,540,-,0.00%
